,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
190,Deepspeech,5.2,0.252319074863,0.330723956281,190,FlexiBO+RF-Ratio,0.0175044516612,239.2,190.0,0.358494842982
191,Deepspeech,0.0,0.250966539101,0.281526552409,191,FlexiBO+RF-Ratio,0.0441889201356,239.2,191.0,0.358494842982
192,Deepspeech,5.2,0.243203966534,0.27907637077,192,FlexiBO+RF-Ratio,0.00026452258096,244.4,192.0,0.358494842982
193,Deepspeech,0.0,0.352813508222,0.317020513363,193,FlexiBO+RF-Ratio,0.0069888035672,244.4,193.0,0.358494842982
194,Deepspeech,0.0,0.25659257177,0.291706748924,194,FlexiBO+RF-Ratio,0.0466081672143,244.4,194.0,0.358494842982
195,Deepspeech,5.2,0.272348608834,0.319577588984,195,FlexiBO+RF-Ratio,0.0385699235613,249.6,195.0,0.358494842982
196,Deepspeech,0.0,0.314059206147,0.30807733287,196,FlexiBO+RF-Ratio,0.00709139543583,249.6,196.0,0.358494842982
197,Deepspeech,0.0,0.239565927842,0.315944281902,197,FlexiBO+RF-Ratio,0.037025717105,249.6,197.0,0.358494842982
198,Deepspeech,5.2,0.199021840669,0.355237572614,198,FlexiBO+RF-Ratio,0.0399282541341,254.8,198.0,0.358494842982
199,Deepspeech,0.0,0.312215698944,0.292721206587,199,FlexiBO+RF-Ratio,0.0376802420046,254.8,199.0,0.358494842982
200,Deepspeech,5.2,0.312396609866,0.333593157983,0,FlexiBO+RF-No Cost,0.0,5.2,0.0,0.65
201,Deepspeech,5.2,0.205609032362,0.303172810086,1,FlexiBO+RF-No Cost,0.0426124620794,10.4,1.0,0.541776396221
202,Deepspeech,5.2,0.210747730641,0.39552316197,2,FlexiBO+RF-No Cost,0.0470177462472,15.6,2.0,0.446446774328
203,Deepspeech,5.2,0.254489833405,0.331215380695,3,FlexiBO+RF-No Cost,0.0097310317108,20.8,3.0,0.446446774328
